GEOID,county,population,white,black,hisp,ai,deaths.male,pop.at.risk.male,pop.at.risk.male.se,deaths.female,pop.at.risk.female,pop.at.risk.female.se,ICE,ICE.se,income,income.se,college,college.se,insurance,insurance.se,rate.male,rate.female
28137,"Tate County, Mississippi",28493,64.52462008212544,29.312462710139332,2.6673217983364337,0.1403853578071807,122,8532,83.54639429682169,94,9695,4.330127018922193,-0.07998830865159781,0.025401665752042026,51056,2965.3495440729484,17.4,1.3373860182370823,88.1,1.033434650455927,0.014299109235818097,0.009695719443011862
28141,"Tishomingo County, Mississippi",19478,93.21285552931512,2.828832529007085,3.1522743608173323,0.16942191190060582,128,6547,200.11559159645708,90,6749,92.47296902338542,-0.18860510805500982,0.02616289559290271,37312,1728.2674772036473,10,1.21580547112462,86,1.458966565349544,0.019550939361539635,0.013335308934656986
28143,"Tunica County, Mississippi",10170,19.242871189773844,78.50540806293019,0.8357915437561455,0,70,2674,61.23724356957945,40,3251,4.743416490252569,-0.2617296474765407,0.031385880986651744,37822,4236.474164133739,16.8,2.188449848024316,85.4,2.066869300911854,0.02617801047120419,0.012303906490310674
28153,"Wayne County, Mississippi",20422,57.52619723827245,41.137009107824895,0.2644207227499755,0.2840074429536774,108,6700,72.4568837309472,77,7043,72.4568837309472,-0.1921386087406258,0.03217540924030759,37970,4306.382978723404,16,2.066869300911854,89.8,1.2765957446808511,0.016119402985074627,0.010932841118841402
28155,"Webster County, Mississippi",9828,78.06267806267806,19.281644281644283,1.465201465201465,0.09157509157509157,56,3319,18.472953201911167,48,3446,8.440971508067067,-0.1969897016107737,0.028908908191814735,40683,4686.930091185411,17.3,1.519756838905775,88.3,1.9452887537993921,0.01687255197348599,0.013929193267556587
28157,"Wilkinson County, Mississippi",8990,27.842046718576196,70.95661846496107,0.41156840934371525,0,57,3027,6.892024376045112,52,3301,54.772255750516614,-0.3247066942719117,0.037087136970912246,26599,1823.1003039513678,13.8,2.066869300911854,85.2,2.2492401215805473,0.018830525272547076,0.015752802181157224
28163,"Yazoo County, Mississippi",27974,35.13619789804819,56.24150997354686,6.452420104382641,0.311003074283263,171,7936,67.64798592715086,97,7776,5.5901699437494745,-0.26504776153757625,0.023761345964827724,31402,1438.9057750759878,14.6,1.1550151975683889,86.8,1.094224924012158,0.021547379032258066,0.012474279835390947
29007,"Audrain County, Missouri",25735,86.85836409558966,6.096755391490189,2.9803769185933553,0.28366038469011073,111,8133,145.4475850607359,81,8966,49.35838327984417,-0.10849056603773585,0.017073624726255558,43761,864.4376899696049,14.5,1.033434650455927,90,1.033434650455927,0.01364810033198082,0.009034128931519073
29017,"Bollinger County, Missouri",12281,96.36023125152676,0.5537008386939174,1.1074016773878348,0.814265939255761,80,4589,100.26838983448373,30,4712,106.78834206035788,-0.17305632897836795,0.02664003939121883,42985,2519.148936170213,9.4,1.1550151975683889,89.2,1.1550151975683889,0.017432991937241227,0.006366723259762309
29023,"Butler County, Missouri",42733,88.804904874453,5.702852596354106,2.075679217466595,0.5171647204736386,255,13812,284.96929659175566,182,15266,309.150044476788,-0.20498868985755334,0.017076039107926592,39058,1625.5319148936171,13.8,1.033434650455927,87.4,0.9726443768996961,0.0184622067767159,0.011921917987685052
29029,"Camden County, Missouri",45096,94.41635621784637,0.6985098456625864,2.667642362959021,0.5854177754124534,216,19403,97.57689275643081,142,20821,119.43094238931552,-0.05759194831013917,0.01756371026083998,52087,1658.966565349544,21.8,1.033434650455927,86.1,1.033434650455927,0.01113229912900067,0.006820037462177609
29035,"Carter County, Missouri",6197,94.41665321929966,0.048410521219945137,2.38825238018396,0.17750524447313215,37,2224,55.66641716510952,30,2328,112.28312428855907,-0.14243448858833474,0.04082965136557996,39415,4103.343465045593,16.5,2.613981762917933,83,1.884498480243161,0.016636690647482015,0.01288659793814433
29041,"Chariton County, Missouri",7546,95.10999204876757,2.42512589451365,0.5035780545984627,0.09276437847866419,38,2984,11.937336386313323,23,2913,48.64411577981453,-0.1241453760345448,0.020899641499045763,46992,1223.1003039513678,18.4,1.3373860182370823,92.7,0.9726443768996961,0.012734584450402145,0.00789564023343632
