GEOID,population,white,black,hisp,ai,income,income.se,college,college.se,insurance,insurance.se
55079017400,2866,14.340544312630845,8.548499651081647,67.4808094905792,0,24925,2503.343465045593,3.4,1.2765957446808511,74.5,3.465045592705167
55079091400,2377,84.30795119899032,3.155237694572991,3.912494741270509,1.2200252419015565,87381,4764.741641337386,55.1,4.25531914893617,95.1,1.21580547112462
55079100600,2146,85.36812674743709,2.60950605778192,7.269338303821063,0,45854,2220.6686930091187,14.8,2.735562310030395,91.7,2.188449848024316
55079101100,1782,83.22109988776656,4.7699214365881035,7.18294051627385,0.1122334455667789,51425,2423.70820668693,24.5,3.951367781155015,94.8,2.066869300911854
55079101800,2582,80.13168086754455,7.939581719597212,3.7567776917118514,4.686289697908598,53324,3897.26443768997,16.1,3.3434650455927053,92.9,2.3100303951367778
55079001900,3074,12.719583604424203,81.1971372804164,0,0,39531,5251.063829787234,12.7,3.768996960486322,95.4,2.066869300911854
55079004900,4522,15.30296329057939,73.28615656789032,7.762052189296772,0,38274,3827.355623100304,23.4,3.03951367781155,93.6,1.8237082066869301
55079006200,2685,2.4208566108007448,95.8659217877095,0.37243947858473,0.6703910614525139,30313,3914.285714285714,9.6,2.188449848024316,95,1.458966565349544
55079011100,1703,84.14562536699941,4.932472108044627,1.3505578391074575,0,45694,1953.7993920972644,74.1,3.03951367781155,91.4,1.762917933130699
55079014100,1641,13.406459475929312,79.70749542961609,5.301645338208409,0.18281535648994515,17273,4167.173252279636,16.4,2.9787234042553195,93.8,2.066869300911854
55079186200,1533,3.5877364644487932,87.99739073711676,5.283757338551859,0,18821,2601.2158054711244,8.4,3.525835866261398,93.6,1.9452887537993921
55079100500,3625,72.46896551724137,5.020689655172414,14.179310344827586,1.3241379310344827,38701,4644.376899696049,29.8,3.708206686930091,88,2.43161094224924
55079003800,2313,7.003891050583658,85.68958063121487,5.663640293990489,0.17293558149589278,32750,5332.522796352583,19.2,3.221884498480243,92.4,2.370820668693009
55079012800,3084,76.10246433203632,6.744487678339818,9.857328145265889,0.1621271076523995,49891,5151.975683890578,37.9,4.680851063829787,98,1.033434650455927
55079005900,3697,20.827698133621855,63.67324857992967,11.955639707871248,0.24344062753583987,37341,6679.0273556231,16.9,3.525835866261398,94.3,1.6413373860182372
55079012400,2456,54.193811074918564,24.79641693811075,4.397394136807818,1.221498371335505,44620,7666.261398176292,38.1,4.6200607902735555,93,3.6474164133738602
55079009300,2600,47.69230769230769,37.5,5.3076923076923075,0,60944,1635.258358662614,40,3.829787234042553,96.7,1.519756838905775
55079017500,3731,6.486196730099169,15.411417850442241,72.52747252747253,0.5896542481908336,26154,6524.012158054711,5.6,2.188449848024316,80.3,3.708206686930091
55079000700,3653,24.746783465644675,60.66246920339447,5.44757733369833,0,46016,5646.200607902735,19.6,3.708206686930091,90.6,3.768996960486322
55079002500,2135,6.744730679156909,79.4847775175644,6.416861826697892,0.6088992974238876,32162,4266.261398176292,9.1,2.796352583586626,95,2.492401215805471
55079005600,2260,81.41592920353982,4.20353982300885,5.79646017699115,0.22123893805309736,70724,3913.06990881459,52.4,3.708206686930091,95.7,1.398176291793313
55079008800,1762,1.0783200908059023,95.9704880817253,0.5107832009080591,0.28376844494892167,18160,1214.5896656534953,6.4,2.857142857142857,94,2.735562310030395
55079000303,1888,32.57415254237288,50.42372881355932,5.985169491525424,0.9533898305084746,55227,5645.592705167173,13.7,2.6747720364741645,87.9,3.465045592705167
